Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Geographical_Distribution,Schedule_Pressure,Budget_Utilization_Rate,Market_Volatility,Integration_Complexity,Resource_Availability,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Project_ID,Project_Type,Methodology_Used,Team_Experience_Level,Project_Phase,Requirement_Stability,Regulatory_Compliance_Level,Technology_Familiarity,Stakeholder_Engagement_Level,Executive_Sponsorship,Funding_Source,Priority_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Tech_Environment_Stability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Risk_Level
32.0,1526276.55,32.0,9.7,16.0,3.0,3.0,1.05,0.16,0.84,2.0,1.9,4.0,0.0,0.82,0.55,2.66,0.98,0.29,6.0,0.8,0.0,10.0,5.0,1.0,PROJ_0001,Construction,Waterfall,Senior,Planning,Moderate,Medium,Expert,Medium,Moderate,Government,Medium,Mid-level PM,Managed,Medium,Limited,0,Time & Materials,High,Extreme,First-time,Basic,Basic,Fully Colocated,Good,High
2.0,390790.15,9.0,2.72,9.0,0.0,2.0,2.61,0.42,0.79,2.0,2.65,5.0,0.0,0.76,0.29,2.45,0.95,0.5,3.0,0.73,0.0,9.0,3.0,1.0,PROJ_0002,Manufacturing,Kanban,Mixed,Execution,Moderate,High,Familiar,Excellent,Weak,External,Low,Mid-level PM,Optimizing,Low,Excellent,0,Cost-Plus,Low,Stable,Occasional,Advanced,Formal,Fully Remote,Poor,Low
2.0,246674.76,6.0,2.04,7.0,1.0,0.0,0.83,0.55,0.89,2.0,1.87,3.0,0.0,1.17,0.15,5.57,0.79,2.71,2.0,0.91,0.0,5.0,1.0,1.0,PROJ_0003,Manufacturing,Agile,Mixed,Initiation,Stable,Medium,Familiar,Excellent,Strong,Internal,High,Mid-level PM,Ad-hoc,Medium,Moderate,0,Cost-Plus,High,Stable,Regular,0,0,Hybrid,Good,Medium
12.0,1427830.63,17.0,7.54,16.0,0.0,5.0,2.42,0.33,0.84,1.0,1.36,5.0,0.1,0.73,0.74,7.49,0.52,0.74,5.0,0.71,0.43,12.0,6.0,1.0,PROJ_0004,IT,Scrum,Mixed,Initiation,Moderate,Low,Familiar,Medium,Moderate,Mixed,Critical,Certified PM,Managed,Strict,Good,Mixed,Hybrid,High,Extreme,Strategic,Formal,Basic,Hybrid,Basic,High
24.0,1696746.64,24.0,6.68,17.0,0.0,2.0,0.16,0.36,0.86,1.0,1.02,2.0,0.0,0.6,0.19,1.64,0.58,0.56,6.0,0.83,0.0,9.0,6.0,1.0,PROJ_0005,Construction,Hybrid,Junior,Execution,Stable,Critical,Expert,Low,Moderate,Government,Medium,Certified PM,Defined,Medium,Moderate,0,Cost-Plus,High,Moderate,Occasional,Basic,0,Partially Colocated,Basic,High
13.0,1106456.85,18.0,7.11,12.0,0.0,5.0,0.68,0.24,0.83,2.0,4.47,3.0,0.0,1.13,0.12,1.41,0.33,0.53,4.0,0.66,0.37,3.0,7.0,1.0,PROJ_0006,IT,Kanban,Mixed,Initiation,Moderate,Medium,Familiar,Poor,Weak,Mixed,Medium,Mid-level PM,Managed,High,Limited,Mixed,Time & Materials,Low,Stable,Strategic,Formal,Advanced,Hybrid,Basic,Medium
12.0,1122048.59,21.0,10.0,11.0,3.0,5.0,2.76,0.31,0.78,3.0,4.26,5.0,0.16,0.77,0.74,3.14,0.56,0.14,7.0,0.77,0.0,9.0,7.0,1.0,PROJ_0007,R&D,Scrum,Senior,Closure,Moderate,Critical,Familiar,Low,Moderate,Mixed,Low,Mid-level PM,Defined,Medium,Limited,0,Fixed-Price,High,High,First-time,Basic,0,Fully Colocated,Good,Critical
9.0,1208078.86,15.0,4.53,9.0,3.0,4.0,0.28,0.47,0.84,2.0,6.67,3.0,0.0,0.78,0.57,7.67,0.84,2.52,5.0,0.91,0.0,11.0,2.0,1.0,PROJ_0008,Healthcare,Kanban,Mixed,Closure,Moderate,High,New,High,Moderate,Mixed,High,Mid-level PM,Optimizing,Strict,Excellent,0,Time & Materials,Low,High,Strategic,Formal,Basic,Partially Colocated,Poor,Low
36.5,1833354.63,35.0,9.49,13.0,0.0,4.0,3.61,0.46,0.43,0.0,1.25,3.0,0.0,0.63,0.38,8.29,0.99,3.3999999999999995,1.0,0.81,0.0,1.0,5.0,1.0,PROJ_0009,Construction,Waterfall,Mixed,Execution,Moderate,Medium,Familiar,Low,Weak,External,Low,Senior PM,Optimizing,Low,Poor,0,Fixed-Price,High,High,Occasional,Basic,Formal,Fully Colocated,Basic,Critical
36.5,2404494.18,28.0,5.09,18.0,2.0,2.0,0.83,0.13,0.92,1.0,2.57,3.0,0.0,1.23,0.51,8.05,0.58,3.3999999999999995,1.0,0.96,0.0,2.0,9.0,1.0,PROJ_0010,Construction,Waterfall,Senior,Closure,Moderate,High,Expert,Medium,Moderate,Mixed,High,Senior PM,Ad-hoc,Medium,Moderate,0,Time & Materials,High,Moderate,Strategic,0,0,Fully Colocated,Basic,Medium
9.0,602745.38,7.0,3.64,8.0,1.0,3.0,1.35,0.31,0.59,1.0,3.56,2.0,0.2,1.13,0.72,1.56,0.4,0.96,6.0,0.72,0.0,1.0,2.0,1.0,PROJ_0011,Healthcare,Scrum,Mixed,Initiation,Moderate,Critical,New,Excellent,Moderate,Internal,High,Junior PM,Optimizing,High,Good,0,Time & Materials,Medium,Moderate,Regular,Formal,Formal,Fully Remote,Poor,Critical
15.0,920898.01,10.0,3.54,11.0,1.0,3.0,0.91,0.17,0.64,0.0,5.33,3.0,0.0,1.17,0.54,5.29,0.89,0.53,0.0,0.4,0.0,10.0,1.0,1.0,PROJ_0012,Construction,Hybrid,Mixed,Execution,Stable,Medium,New,Low,Strong,External,Low,Mid-level PM,Defined,High,Limited,0,Fixed-Price,High,Stable,First-time,Basic,Basic,Fully Remote,Basic,High
15.0,1161853.69,18.0,8.59,9.0,4.0,6.0,1.13,0.18,0.61,3.0,0.46,1.0,0.16,0.87,0.07,3.06,0.68,2.94,6.0,0.7,0.5,12.0,5.0,1.0,PROJ_0013,IT,Agile,Expert,Execution,Moderate,Low,Familiar,High,Moderate,Mixed,Medium,Certified PM,Defined,Medium,Excellent,Legacy/Unstable,Time & Materials,Low,Moderate,Regular,Formal,Formal,Fully Remote,Basic,Medium
14.0,880447.31,16.0,8.39,7.0,2.0,3.0,0.61,0.55,0.48,1.0,2.41,5.0,0.2,1.1,0.58,6.46,0.6,0.49,6.0,0.72,0.0,7.0,6.0,1.0,PROJ_0014,Marketing,Agile,Senior,Monitoring,Volatile,Low,Familiar,Low,Weak,External,Low,Senior PM,Defined,Medium,Limited,0,Fixed-Price,High,High,Occasional,Formal,0,Hybrid,Good,Critical
11.0,877904.48,14.0,4.27,8.0,2.0,2.0,0.3,0.28,0.91,2.0,3.83,2.0,0.0,0.97,0.4,6.04,0.41,2.35,6.0,0.69,0.0,4.0,5.0,1.0,PROJ_0015,Construction,Hybrid,Expert,Initiation,Moderate,High,Familiar,Poor,Moderate,Government,Low,Junior PM,Managed,Low,Poor,0,Fixed-Price,Low,Stable,First-time,Formal,Basic,Fully Colocated,Basic,High
17.0,950825.03,13.0,3.7,13.0,0.0,0.0,0.25,0.15,0.71,2.0,0.85,3.0,0.0,1.26,0.14,8.82,0.64,0.19,0.0,0.46,0.0,11.0,3.0,1.0,PROJ_0016,Construction,Hybrid,Junior,Closure,Moderate,Critical,New,Low,Strong,Internal,Medium,Senior PM,Managed,Low,Poor,0,Time & Materials,Low,Stable,Regular,Formal,Basic,Partially Colocated,Good,High
14.0,805495.26,21.0,10.0,11.0,1.0,5.0,2.63,0.43,0.96,2.0,2.2,3.0,0.16,0.83,0.11,1.68,0.81,1.04,7.0,0.69,0.69,5.0,8.0,1.0,PROJ_0017,IT,Scrum,Junior,Monitoring,Moderate,Low,Familiar,Low,Strong,Internal,Low,Mid-level PM,Defined,High,Poor,Mixed,Cost-Plus,Low,High,First-time,Formal,Basic,Fully Colocated,Basic,Critical
